"","ID","mean"
"150",150,181.5
"151",151,168.695652173913
"152",152,326.282608695652
"153",153,264.782608695652
"154",154,298.086956521739
"155",155,141.739130434783
"156",156,193.152173913043
"157",157,187.826086956522
"158",158,302.608695652174
"159",159,168.913043478261
"160",160,358.565217391304
"161",161,280.282608695652
"162",162,312.04347826087
"163",163,341.434782608696
"164",164,340.869565217391
"165",165,353.5
"166",166,309.239130434783
"167",167,186.826086956522
"168",168,274.978260869565
"169",169,258.282608695652
"170",170,304.913043478261
"171",171,294.913043478261
"172",172,284.173913043478
"173",173,397.5
"174",174,285.239130434783
"175",175,285.804347826087
"176",176,0
"177",177,285.804347826087
"178",178,256.260869565217
"179",179,260.804347826087
"180",180,253.717391304348
"181",181,196.086956521739
"182",182,278.326086956522
"183",183,224.021739130435
"184",184,21.1521739130435
"185",185,258.086956521739
"186",186,256.434782608696
"187",187,196.086956521739
"188",188,320.326086956522
"189",189,276.304347826087
"190",190,397
"191",191,21.7391304347826
"192",192,203.891304347826
"193",193,323
"194",194,355.934782608696
"195",195,192.260869565217
"196",196,295.086956521739
"197",197,166.673913043478
"198",198,0
"199",199,201.434782608696
"200",200,405.826086956522
"201",201,321.521739130435
"202",202,266.891304347826
"203",203,179.54347826087
"204",204,367.608695652174
"205",205,283.45652173913
"206",206,183.739130434783
"207",207,348.608695652174
"208",208,300.195652173913
"209",209,270.891304347826
"210",210,294.021739130435
"211",211,17.0217391304348
"212",212,276.195652173913
"213",213,119.5
"214",214,311.630434782609
"215",215,229.586956521739
"216",216,220.108695652174
"217",217,88.4782608695652
"218",218,164.478260869565
"219",219,274.369565217391
"220",220,236.195652173913
"221",221,248.260869565217
"222",222,262.934782608696
"223",223,281.695652173913
"224",224,262.782608695652
"225",225,376.673913043478
"226",226,108.478260869565
"227",227,308.217391304348
"228",228,282.695652173913
"229",229,224.021739130435
"230",230,211.04347826087
"231",231,178.413043478261
"232",232,0
"233",233,189.434782608696
"234",234,164.478260869565
"235",235,108.478260869565
"236",236,226.282608695652
"237",237,34.5217391304348
"238",238,108.5
"239",239,193.804347826087
"240",240,356.021739130435
"241",241,383.326086956522
"242",242,173.217391304348
"243",243,0
"244",244,0
"245",245,227.565217391304
"246",246,0
"247",247,278.326086956522
"248",248,263.869565217391
"249",249,198.913043478261
"250",250,216.565217391304
"251",251,269.217391304348
"252",252,235.891304347826
"253",253,282.434782608696
"254",254,0
"255",255,45.4130434782609
"256",256,83.4347826086957
"257",257,0
"258",258,0
"259",259,285.934782608696
"260",260,398.130434782609
"261",261,226.282608695652
