IND,long,lat,POP
T15_17,-52.92777778,-18.10638889,Cerado
T15_19,-53.199907,-17.327807,Cerado
T15_22,-44.78391,-18.9517,Cerado
T15_24,-45.30002,-18.34569,Cerado
T16_2,-44.298809,-15.153047,Cerado
T16_4,-41.028804,-16.333602,Bahsts
T16_6,-43.478179,-19.49199,Cerado
T16_10,-54.876352,-11.506002,Matsts
T5_22,-51.637532,-10.879813,Cerado
T16_16,-58.964436,-15.12528,Chists
T16_21,-51.8357309,-3.33475674,Tapsts
T16_23,-43.522664,-9.208777,Caanga
T17_24,-40.39303,-10.58599,Caanga
T17_5,-64.81401645,-9.447537018,Madsts
T18_15,-51.452538,-1.727539,Xinsts
T17_11,-61.74511,3.79007,Guists
T17_15,-46.636086,-23.547488,Sersts
T8_13,-51.908812,-18.948989,Cerado
T17_20,-47.545845,-6.612966,Cerado
T18_6,-65.43992,-9.63412,Madsts
T12_16,-51.82,-12.94,Cerado
T12_19,-52.37,-12.47,Matsts
T17_9,-59.783394,3.840808,Guists
T18_18,-51.957506,-6.652255,Matsts
T18_21,-53.233444,-0.935705,Uatsts
T25_19,-63.0391,-0.888383333,Japsts
T19_1,-58.426695,-4.003665,Madsts
T19_3,-68.540888,-5.506295,Jursts
T19_5,-55.099607,-8.316684,Tapsts
T19_11,-51.285933,-0.11597,Pursts
T20_1,-70.099317,-12.566967,Sousts
T25_21,-64.61681667,-0.428983333,Japsts
T21_2,-54.082952,5.627047,Guists
T21_13,-60.823041,-5.494451,Monzea
T21_14,-60.221084,-5.80135,Madsts
T22_2,-47.527567,-4.306641,Tocsts
T22_4,-49.135983,-5.381017,Xinsts
T22_6,-49.073699,-5.301916,Tocsts
T22_8,-49.71606667,-3.760283333,Xinsts
T22_10,-51.957506,-6.652255,Matsts
T25_23,-64.61681667,-0.428983333,Japsts
T24_6,-64.766133,-0.423797,Japsts
T25_25,-64.99906667,-0.490616667,Japsts
T25_27,-64.8293,-0.481883333,Japsts
T24_17,-56.355735,-1.466268,Uatsts
T24_19,-62.522089,2.598425,Guists
T26_4,-76.39269923,-6.39015,Ucasts
T24_25,-69.277351,-1.646435,Solsts
T25_1,-61.299028,-1.964722,Japsts
T25_4,-61.38141667,-1.92925,Japsts
T25_6,-61.30876667,-1.897433333,Japsts
T25_8,-61.40648333,-1.713016667,Japsts
T21_12,-61.81454,-4.308257,Monzea
T21_16,-49.727887,-10.867427,Cerado
T22_9,-51.97918333,-6.62475,Matsts
T25_11,-60.98606667,-2.634083333,Japsts
T18_24,-57.199957,-1.700581,Uatsts
T24_2,-58.220659,-2.030853,Monzea
T24_10,-62.905017,-5.01746,Pursts
T24_13,-55.204334,-3.377613,Madsts
T25_29,-64.12976667,-0.37195,Japsts
T25_31,-62.92683333,-0.96825,Japsts
T25_33,-61.97795,-1.396933333,Japsts
T25_35,-61.97795,-1.396933333,Japsts
T25_37,-59.58292,-2.55503,Uatsts
T26_2,-76.42337257,-7.321292,Ucasts
T24_22,-64.766133,-0.423797,Japsts
